RAJ2000;DEJ2000;logT;logL;AV;logAc;M.S0;logA0;M.P9;logA9;Mm
"h:m:s";"d:m:s";[K];[Lsun];mag;[-];Msun;[yr];Msun;[yr];%
-----------;------------;------;------;------;-----;------;------;------;------;--
05 35 47.02;-05 17 56.91; 3.615; 2.739; 7.263;-5.00;      ;      ;      ;      ; 0
05 35 20.71;-05 21 44.45; 4.251; 2.628; 2.184;-1.31;      ;      ;      ;      ;99
05 35 05.21;-05 14 50.37; 3.768; 1.529; 2.665;-0.53; 2.918; 6.326; 2.850; 5.854;97
05 35 21.32;-05 12 12.74; 3.768; 1.359; 2.027;-0.79; 2.570; 6.469; 2.450; 6.226;70
05 34 49.98;-05 18 44.61; 3.936; 1.625; 2.511;-0.72; 2.342; 6.684; 2.400; 6.434;92
05 34 39.76;-05 24 25.66; 3.662; 1.045; 0.898;-1.57; 1.930; 5.669;      ;      ; 0
05 35 16.97;-05 21 45.42; 3.969; 1.371; 1.345;-0.72; 2.155; 6.941; 2.250; 6.695;99
05 35 05.64;-05 25 19.45; 3.699; 0.926; 0.769;-1.49; 2.515; 6.209; 2.487; 5.667;99
05 35 20.21;-05 20 57.09; 3.780; 1.348; 4.239;-0.22; 2.432; 6.551; 2.400; 6.285;99
05 35 50.46;-05 28 34.89; 3.936; 0.872; 1.570;-0.19;      ;      ;      ;      ;92
05 35 17.94;-05 22 45.48; 3.662; 1.082; 1.890;-0.76; 1.992; 5.639;      ;      ;99
05 34 55.97;-05 23 13.08; 3.675; 1.000; 1.198;-2.25; 2.267; 5.866;      ;      ;99
05 35 10.73;-05 23 44.69; 3.597; 0.824; 0.464;-2.42; 0.697; 4.797;      ;      ;99
05 35 41.98;-05 28 12.78; 3.722; 0.859; 0.879;-0.90; 2.237; 6.508; 2.063; 6.397;97
05 35 18.67;-05 20 33.83; 3.722; 1.136; 3.608;-0.24; 2.723; 6.294; 2.612; 5.868;99
05 34 30.33;-05 27 27.87; 3.780; 0.704; 0.000;-0.81; 1.470; 7.114; 1.455; 7.013; 0
05 35 15.97;-05 39 14.92; 3.746; 0.789; 0.607;-1.44; 1.840; 6.804; 1.775; 6.691; 0
05 35 26.20;-05 27 36.59; 3.753; 0.812; 1.106;-0.81; 1.790; 6.851; 1.775; 6.706;99
05 34 43.59;-05 18 27.64; 3.847; 0.834; 0.476;-5.00; 1.680; 7.161; 1.477; 7.097; 0
05 35 26.34;-05 25 40.11; 3.761; 0.901; 1.665;-0.90; 1.850; 6.827; 1.837; 6.676;99
05 35 15.94;-05 23 49.97; 3.722; 0.941; 2.890;-0.31; 2.372; 6.443; 2.188; 6.287;99
05 35 58.07;-05 12 54.64; 3.768; 1.473; 4.501;-5.00; 2.820; 6.364; 2.713; 5.990; 0
05 35 21.04;-05 23 49.01; 3.706; 0.812; 1.610;-0.74; 2.283; 6.394; 2.125; 6.206;99
05 34 27.70;-05 31 55.32; 3.746; 0.906; 2.081;-0.68; 1.997; 6.714; 1.875; 6.621;
05 34 27.34;-05 24 22.35; 3.726; 0.904; 1.917;-1.05; 2.253; 6.521; 2.075; 6.404; 0
05 34 19.49;-05 27 12.16; 3.754; 0.439; 0.014;-0.45; 1.327; 7.189; 1.305; 7.064;85
05 35 11.62;-05 16 57.74; 3.774; 1.103; 3.308;-0.60; 2.035; 6.743; 1.987; 6.604;99
05 35 26.31;-05 15 11.31; 3.726; 0.492; 0.000;-5.00; 1.605; 6.902; 1.525; 6.844; 0
05 35 17.21;-05 21 31.83; 3.668; 0.894; 2.289;-1.07; 1.970; 5.866; 1.913; 4.781;99
05 35 10.50;-05 26 18.24; 3.722; 0.754; 1.806;-0.70; 2.045; 6.620; 1.837; 6.560;99
05 34 29.25;-05 23 56.78; 3.706; 0.482; 0.165;-5.00; 1.747; 6.731; 1.612; 6.687; 1
05 35 29.83;-05 32 53.51; 3.675; 0.535; 0.772;-0.78; 1.795; 6.336; 1.663; 6.207;97
05 35 23.83;-05 30 47.45; 3.706; 0.510; 0.819;-0.65; 1.790; 6.701; 1.638; 6.664;98
05 35 18.36;-05 22 37.44; 3.722; 0.855; 2.984;-0.45; 2.215; 6.524; 2.050; 6.404;99
05 34 33.95;-05 28 24.50; 3.690; 0.518; 0.640;-1.47; 1.847; 6.526; 1.688; 6.473;93
05 35 15.63;-05 22 56.49; 3.722; 0.914; 2.970;-0.68; 2.328; 6.465; 2.150; 6.316;99
05 35 10.42;-05 38 24.68; 3.761; 0.780; 2.953;-0.30; 1.675; 6.938; 1.712; 6.767;35
05 35 02.39;-05 15 47.98; 3.675; 1.176; 4.257;-0.87; 2.540; 5.712;      ;      ;98
05 35 12.59;-05 23 44.11; 3.706; 0.721; 1.846;-1.02; 2.140; 6.475; 2.013; 6.337;99
05 35 26.99;-05 13 14.54; 3.765; 0.459; 0.157;-5.00; 1.298; 7.237; 1.290; 7.093; 0
05 35 14.68;-05 39 10.95; 3.690; 0.544; 0.996;-0.92; 1.900; 6.499; 1.712; 6.438;95
05 34 45.18;-05 25 04.13; 3.690; 0.670; 1.708;-1.03; 2.075; 6.364; 2.000; 6.127;99
05 35 17.06;-05 23 34.03; 3.706; 0.681; 2.804;-0.30; 2.075; 6.510; 1.825; 6.467;99
05 34 14.48;-05 28 16.82; 3.757; 0.527; 0.758;-5.00; 1.400; 7.130; 1.380; 7.022;70
05 35 26.87;-05 11 07.41; 3.765; 1.332; 4.967;-1.86; 2.545; 6.476; 2.438; 6.230;70
05 35 19.13;-05 20 38.85; 3.914; 0.285; 1.764;-0.12;      ;      ;      ;      ;99
05 35 47.51;-05 16 58.00; 3.809; 0.751; 1.810;-5.00; 1.482; 7.148; 1.447; 7.048; 0
05 34 26.18;-05 24 19.04; 3.609; 0.358; 0.453;-5.00; 0.735; 5.814; 0.790; 5.660;
05 35 15.25;-05 22 56.95; 3.754; 0.644; 2.840;-0.37; 1.558; 7.003; 1.500; 6.941;99
05 35 13.60;-05 30 57.65; 3.639; 0.299; 0.526;-0.83; 1.120; 6.167; 1.155; 6.112;99
05 34 31.51;-05 12 30.20; 3.722; 1.496; 6.793;-0.79; 3.475; 6.001;      ;      ; 0
05 35 00.12;-05 23 01.92; 3.722; 0.556; 2.422;-0.40; 1.737; 6.804; 1.625; 6.741;99
05 35 16.76;-05 24 04.25; 3.624; 0.439; 1.158;-1.55; 0.908; 5.843; 0.960; 5.732;98
05 35 20.16;-05 26 38.95; 3.722; 0.613; 2.414;-0.62; 1.827; 6.744; 1.688; 6.685;99
05 35 18.46;-05 16 37.79; 3.609; 0.223; 0.000;-5.00; 0.733; 5.940; 0.790; 5.860;99
05 35 36.02;-05 12 25.32; 3.690; 0.178; 1.959;-0.14; 1.418; 6.918; 1.327; 6.842;99
05 35 11.50;-05 26 02.32; 3.675; 0.625; 2.489;-0.67; 1.862; 6.234; 1.737; 6.000;99
05 34 35.15;-05 32 10.39; 3.690; 0.449; 1.568;-0.69; 1.773; 6.602; 1.625; 6.567;97
05 34 42.41;-05 12 18.69; 3.706; 0.968; 4.153;-0.89; 2.550; 6.264; 2.487; 5.837;58
05 35 15.55;-05 25 14.14; 3.585; 0.351; 0.900;-1.47; 0.553; 5.742; 0.575; 5.528;99
05 35 43.22;-05 36 27.50; 3.609; 0.185; 0.000;-2.31; 0.738; 5.995; 0.790; 5.907;83
05 34 56.48;-05 31 36.17; 3.895; 1.159; 4.130;-5.00; 1.928; 6.920; 1.775; 6.862;97
05 35 21.80;-05 23 53.89; 3.675; 0.380; 1.211;-5.00; 1.638; 6.510; 1.575; 6.467;99
05 36 01.86;-05 17 36.66; 3.616; 0.150; 0.000;-5.00; 0.810; 6.096; 0.870; 6.063;95
05 35 14.91;-05 22 39.25; 3.662; 0.522; 2.100;-1.06; 1.560; 6.171; 1.563; 5.988;99
05 34 56.82;-05 11 33.00; 3.639; 0.138; 0.000;-1.97; 1.125; 6.387; 1.130; 6.362;99
05 35 14.27;-05 24 24.64; 3.609; 0.300; 0.929;-1.33; 0.733; 5.868; 0.790; 5.739;99
05 35 09.05;-05 29 59.23; 3.675; 0.277; 0.955;-0.92; 1.543; 6.638; 1.500; 6.583;99
05 35 09.76;-05 23 26.89; 3.597; 0.149; 0.131;-1.76; 0.637; 5.945; 0.675; 5.822;99
05 35 15.18;-05 22 54.44; 3.668; 0.545; 2.534;-0.69; 1.690; 6.239; 1.625; 6.063;99
05 35 15.34;-05 22 15.60; 3.662; 0.692; 3.137;-1.08; 1.643; 5.985; 1.612; 5.582;99
05 35 22.26;-05 20 29.37; 3.675; 0.203; 0.482;-5.00; 1.487; 6.728; 1.357; 6.652;99
05 35 03.00;-05 30 01.50; 3.690; 0.476; 2.988;-0.32; 1.803; 6.586; 1.650; 6.519;79
05 35 21.38;-05 26 43.89; 3.624; 0.250; 0.842;-1.47; 0.902; 6.057; 0.960; 6.002;99
05 35 13.76;-05 39 10.08; 3.662; 0.268; 1.105;-0.91; 1.467; 6.496; 1.388; 6.443;93
05 34 40.86;-05 22 42.32; 3.609; 0.253; 1.277;-0.66; 0.733; 5.916; 0.790; 5.815;98
05 35 12.28;-05 23 48.07; 3.585; 0.087; 0.266;-5.00; 0.558; 5.933; 0.575; 5.793;99
05 35 27.51;-05 35 19.57; 3.597; 0.036; 0.003;-5.00; 0.642; 6.065; 0.675; 6.008;98
05 34 57.78;-05 23 52.59; 3.597; 0.018; 0.000;-5.00; 0.645; 6.091; 0.680; 6.052;99
05 35 22.18;-05 24 24.88; 3.683; 0.443; 2.243;-5.00; 1.755; 6.529; 1.625; 6.469;99
05 34 33.61;-05 23 10.29; 3.750; 0.195; 0.812;-5.00; 1.143; 7.373; 1.105; 7.290; 0
05 35 21.28;-05 24 57.36; 3.690; 0.349; 2.145;-0.64; 1.633; 6.718; 1.538; 6.675;99
05 35 14.65;-05 22 33.79; 3.609; 0.382; 2.243;-0.83; 0.735; 5.792; 0.790; 5.635;99
05 35 23.45;-05 10 51.64; 3.597;-0.023; 0.000;-5.00; 0.645; 6.129; 0.680; 6.116;88
05 35 31.26;-05 18 56.04; 3.597; 0.064; 0.568;-1.29; 0.640; 6.027; 0.675; 5.972;99
05 34 28.53;-05 24 57.98; 3.639; 0.064; 0.579;-1.32; 1.130; 6.493; 1.085; 6.449;97
05 35 13.20;-05 24 55.43; 3.722; 0.792; 4.313;-5.00; 2.125; 6.569; 1.888; 6.519;99
05 35 15.83;-05 23 22.53; 3.690; 0.101; 0.746;-5.00; 1.325; 7.013; 1.260; 6.952;99
05 34 50.71;-05 24 01.28; 3.639;-0.053; 0.000;-3.43; 1.133; 6.684; 1.040; 6.642;99
05 35 40.19;-05 17 29.36; 4.098;-0.553; 4.848;-0.01;      ;      ;      ;      ;99
05 35 25.08;-05 23 46.74; 3.662; 0.234; 1.691;-1.10; 1.450; 6.549; 1.350; 6.488;96
05 35 07.61;-05 36 19.70; 3.533;-0.030; 0.049;-5.00; 0.322; 5.746; 0.265; 5.329; 0
05 35 17.00;-05 22 33.08; 3.690; 0.388; 2.561;-1.09; 1.680; 6.672; 1.575; 6.630;99
05 35 10.49;-05 22 45.74; 3.577; 0.079; 0.883;-1.43; 0.502; 5.902; 0.520; 5.768;81
05 35 42.77;-05 11 54.76; 3.616;-0.015; 0.378;-5.00; 0.832; 6.331; 0.855; 6.349;98
05 34 08.22;-05 11 43.03; 3.539;-0.061; 0.033;-5.00; 0.343; 5.959; 0.300; 5.388;
05 35 14.05;-05 23 38.38; 3.533;-0.069; 0.000;-5.00; 0.322; 5.889; 0.270; 5.408;97
05 35 17.55;-05 22 56.86; 3.668; 0.064; 4.266;-0.06; 1.335; 6.838; 1.253; 6.726;99
05 35 14.98;-05 21 59.97; 3.662; 0.266; 2.077;-0.94; 1.467; 6.496; 1.388; 6.443;79
05 35 14.39;-05 23 33.67; 3.569; 0.081; 0.936;-5.00; 0.463; 5.891; 0.465; 5.662;95
05 35 11.88;-05 31 55.40; 3.577;-0.104; 0.000;-5.00; 0.507; 6.077; 0.520; 6.019;98
05 35 27.43;-05 26 28.02; 3.585;-0.114; 0.000;-5.00; 0.565; 6.150; 0.580; 6.114;99
05 35 13.79;-05 22 07.08; 3.551;-0.062; 0.218;-5.00; 0.385; 5.966; 0.360; 5.609;99
05 35 21.70;-05 34 46.90; 3.726;-0.201; 1.625;-0.15; 0.993; 7.704; 0.915; 7.617;99
05 35 18.89;-05 16 14.05; 3.675;-0.101; 0.110;-5.00; 1.160; 7.139; 1.105; 7.052;98
05 35 15.61;-05 24 03.07; 3.591;-0.014; 0.575;-5.00; 0.598; 6.072; 0.620; 6.010;99
05 35 16.00;-05 23 52.97; 3.809; 0.771; 4.316;-5.00; 1.490; 7.141; 1.462; 7.039;99
05 35 16.88;-05 22 22.54; 3.585; 0.059; 1.044;-5.00; 0.555; 5.956; 0.575; 5.831;99
05 35 35.29;-05 21 27.21; 3.662;-0.017; 1.577;-0.35; 1.263; 6.897; 1.190; 6.748;99
05 35 25.40;-05 10 47.97; 3.675;-0.010; 0.747;-1.84; 1.260; 7.009; 1.207; 6.908;96
05 34 52.16;-05 22 31.92; 3.542;-0.004; 0.657;-5.00; 0.352; 5.901; 0.315; 5.301;97
05 35 10.58;-05 21 56.30; 3.609;-0.061; 0.576;-1.22; 0.757; 6.302; 0.785; 6.331;99
05 34 29.26;-05 14 39.74; 3.662; 0.406; 3.162;-0.86; 1.523; 6.316; 1.538; 6.233; 0
05 35 16.44;-05 42 39.59; 3.624;-0.159; 0.000;-5.00; 0.955; 6.653; 0.915; 6.652;
05 34 37.96;-05 41 08.69; 3.577;-0.166; 0.000;-5.00; 0.510; 6.144; 0.525; 6.091;
05 35 11.13;-05 36 51.21; 3.551;-0.021; 0.756;-5.00; 0.385; 5.941; 0.365; 5.491;98
05 35 02.08;-05 26 36.12; 3.560;-0.148; 0.136;-3.18; 0.425; 6.039; 0.405; 5.894;99
05 35 41.37;-05 12 58.98; 3.551;-0.130; 0.208;-5.00; 0.385; 6.008; 0.360; 5.752;26
05 35 16.06;-05 20 36.38; 3.662; 0.329; 3.402;-0.43; 1.497; 6.419; 1.513; 6.354;99
05 35 50.78;-05 16 29.21; 3.639; 0.005; 1.098;-1.38; 1.133; 6.584; 1.060; 6.521;88
05 35 16.97;-05 23 01.02; 3.585; 0.024; 1.250;-1.42; 0.558; 5.995; 0.575; 5.896;99
05 35 03.92;-05 29 03.37; 3.560;-0.138; 0.334;-2.95; 0.423; 6.031; 0.405; 5.882;99
05 34 42.95;-05 20 07.01; 3.624; 0.068; 1.558;-1.10; 0.918; 6.299; 0.950; 6.308;99
05 34 48.47;-05 41 58.18; 3.624;-0.208; 0.000;-3.18; 0.962; 6.728; 0.910; 6.724;
05 35 25.67;-05 30 21.04; 3.577;-0.210; 0.000;-5.00; 0.510; 6.195; 0.520; 6.145;99
05 35 20.04;-05 21 06.03; 3.609; 0.209; 2.337;-1.05; 0.735; 5.967; 0.790; 5.876;99
05 35 14.05;-05 19 52.13; 3.761; 0.312; 2.720;-1.48; 1.200; 7.337; 1.160; 7.236;99
05 35 24.42;-05 24 39.77; 3.585; 0.052; 2.674;-0.28; 0.555; 5.966; 0.575; 5.844;99
05 34 57.74;-05 23 51.49; 3.597;-0.004; 1.254;-1.57; 0.647; 6.118; 0.680; 6.084;99
05 35 16.97;-05 23 37.06; 3.551;-0.274; 0.000;-0.80; 0.385; 6.115; 0.365; 5.945;99
05 35 38.86;-05 12 42.00; 3.690; 0.678; 5.221;-0.61; 2.090; 6.356; 2.013; 6.125;99
05 35 52.03;-05 28 47.15; 3.624;-0.247; 0.000;-2.27; 0.957; 6.793; 0.905; 6.773;99
05 35 34.91;-05 29 14.35; 3.675;-0.020; 1.235;-1.77; 1.245; 7.031; 1.185; 6.938;99
05 34 07.32;-05 13 45.46; 3.624;-0.256; 0.000;-1.50; 0.957; 6.817; 0.905; 6.791;
05 35 20.99;-05 31 21.68; 3.639;-0.894; 2.658;-0.02; 0.692; 7.839; 0.665; 7.877;99
05 35 18.69;-05 22 56.86; 3.675; 0.392; 3.399;-5.00; 1.648; 6.502; 1.587; 6.445;99
05 35 25.05;-05 22 58.53; 3.683; 0.398; 4.770;-0.25; 1.705; 6.578; 1.587; 6.539;99
05 35 36.71;-05 37 41.62; 3.609;-0.122; 0.729;-1.96; 0.765; 6.391; 0.785; 6.430;96
05 35 49.50;-05 35 26.36; 3.577;-0.261; 0.000;-5.00; 0.507; 6.250; 0.525; 6.223;92
05 34 48.31;-05 37 22.83; 3.597;-0.271; 0.000;-5.00; 0.668; 6.476; 0.690; 6.505;95
05 35 06.52;-05 24 41.39; 3.569;-0.257; 0.076;-5.00; 0.465; 6.186; 0.465; 6.147;99
05 34 36.54;-05 36 17.10; 3.533;-0.251; 0.000;-5.00; 0.325; 6.075; 0.270; 5.709;
05 35 08.85;-05 31 49.18; 3.662;-0.029; 2.224;-0.35; 1.253; 6.913; 1.175; 6.777;99
05 34 51.56;-05 25 13.05; 3.690; 0.118; 3.100;-0.32; 1.342; 6.990; 1.275; 6.930;99
05 34 44.74;-05 33 42.12; 3.569;-0.278; 0.000;-5.00; 0.465; 6.211; 0.465; 6.163;99
05 35 17.81;-05 23 15.56; 3.585;-0.054; 1.449;-0.80; 0.563; 6.080; 0.580; 6.018;17
05 35 04.52;-05 29 38.32; 3.639;-0.080; 1.105;-1.45; 1.122; 6.708; 1.030; 6.676;99
05 35 06.45;-05 33 35.27; 3.577; 0.233; 3.735;-0.32; 0.500; 5.803; 0.520; 5.523; 0
05 35 28.19;-05 24 58.09; 3.609;-0.125; 0.971;-1.08; 0.765; 6.408; 0.785; 6.430;91
05 35 24.25;-05 25 18.68; 3.639; 0.079; 2.497;-0.50; 1.130; 6.471; 1.095; 6.420;99
05 35 04.50;-05 23 56.55; 3.690; 0.315; 3.836;-0.45; 1.590; 6.753; 1.513; 6.700;99
05 35 45.43;-05 20 36.79; 3.585;-0.245; 0.256;-5.00; 0.570; 6.317; 0.590; 6.319;99
05 36 00.79;-05 41 06.61; 3.560;-0.301; 0.000;-5.00; 0.423; 6.182; 0.410; 6.175;
05 35 47.39;-05 13 18.60; 3.560;-0.302; 0.000;-5.00; 0.423; 6.182; 0.410; 6.175;98
05 35 14.08;-05 22 36.61; 3.533;-0.184; 0.573;-5.00; 0.325; 6.038; 0.270; 5.636;99
05 35 29.46;-05 16 33.43; 3.585;-0.163; 0.851;-1.85; 0.563; 6.205; 0.585; 6.210;99
05 35 27.29;-05 23 36.60; 3.662; 0.173; 3.921;-0.25; 1.420; 6.622; 1.305; 6.564;99
05 35 22.19;-05 26 37.32; 3.577;-0.197; 0.671;-2.01; 0.507; 6.172; 0.520; 6.130;99
05 35 05.73;-05 24 18.47; 3.639;-0.376; 2.899;-0.07; 0.978; 7.168; 0.910; 7.068;99
05 34 18.01;-05 33 33.38; 3.569;-0.322; 0.015;-5.00; 0.468; 6.262; 0.470; 6.209;
05 34 29.07;-05 14 14.57; 3.585; 0.083; 2.206;-1.44; 0.555; 5.936; 0.575; 5.806; 0
05 35 28.93;-05 16 18.46; 3.581;-0.041; 1.694;-0.90; 0.533; 6.036; 0.550; 5.965;
05 35 04.38;-05 23 14.00; 3.577;-0.302; 0.133;-5.00; 0.510; 6.301; 0.530; 6.273;99
05 35 19.65;-05 24 26.60; 3.542;-0.250; 0.339;-5.00; 0.355; 6.078; 0.320; 5.817;99
05 35 12.81;-05 20 43.73; 3.569;-0.187; 0.905;-1.09; 0.468; 6.113; 0.465; 6.081;99
05 36 07.30;-05 40 22.41; 3.569;-0.155; 0.961;-5.00; 0.465; 6.081; 0.465; 5.944;
05 35 05.41;-05 27 17.03; 3.624;-0.259; 0.503;-1.27; 0.955; 6.813; 0.900; 6.803;99
05 35 18.98;-05 37 36.71; 3.569;-0.341; 0.000;-2.81; 0.468; 6.289; 0.470; 6.229; 0
05 35 20.15;-05 13 15.73; 3.639; 0.534;10.598;-0.02; 1.130; 5.882; 1.145; 5.663;99
05 34 46.92;-05 35 07.86; 3.560;-0.157; 0.947;-3.15; 0.425; 6.049; 0.410; 5.900;65
05 35 16.60;-05 32 48.10; 3.577;-0.271; 0.392;-5.00; 0.510; 6.260; 0.525; 6.234;99
05 35 15.48;-05 22 48.67; 3.551;-0.033; 1.598;-5.00; 0.387; 5.949; 0.360; 5.495;99
05 35 38.22;-05 14 19.00; 3.528;-0.172; 0.765;-5.00; 0.308; 6.023; 0.245; 5.584;94
05 34 18.53;-05 34 00.26; 3.585;-0.352; 0.000;-5.00; 0.572; 6.458; 0.600; 6.479;
05 35 28.37;-05 25 03.32; 3.560;-0.143; 1.178;-1.12; 0.423; 6.031; 0.410; 5.889;99
05 35 42.48;-05 27 33.02; 3.624;-0.138; 1.199;-1.25; 0.950; 6.606; 0.915; 6.613;99
05 35 12.36;-05 36 40.45; 3.675;-0.356; 0.000;-5.00; 0.923; 7.469; 0.895; 7.434; 0
05 34 19.55;-05 30 19.82; 3.639; 0.082; 2.345;-1.39; 1.133; 6.471; 1.095; 6.420;
05 35 27.92;-05 16 57.30; 3.524;-0.228; 0.486;-5.00; 0.295; 6.013; 0.225; 5.632;99
05 33 52.35;-05 41 50.37; 3.577;-0.361; 0.000;-5.00; 0.512; 6.382; 0.535; 6.367;
05 35 32.51;-05 26 10.36; 3.560;-0.357; 0.000;-5.00; 0.423; 6.245; 0.410; 6.209;99
05 35 23.39;-05 18 50.75; 3.577;-0.166; 1.036;-5.00; 0.510; 6.144; 0.520; 6.085;99
05 35 18.00;-05 29 34.60; 3.560;-0.291; 0.375;-5.00; 0.423; 6.170; 0.410; 6.169;99
05 35 20.45;-05 23 29.78; 3.585;-0.035; 1.755;-5.00; 0.560; 6.059; 0.580; 5.989;99
05 35 35.61;-05 15 43.26; 3.560;-0.328; 0.216;-1.92; 0.423; 6.207; 0.410; 6.192;99
05 35 19.30;-05 20 08.00; 3.690;      ; 4.019; 0.00;      ;      ;      ;      ;99
05 35 15.19;-05 22 24.11; 3.609;-0.199; 1.135;-0.84; 0.777; 6.508; 0.790; 6.548;99
05 35 05.69;-05 25 06.35; 3.551;-0.363; 0.000;-5.00; 0.385; 6.203; 0.365; 6.140;99
05 35 15.80;-05 33 12.41; 3.585;-0.346; 0.172;-2.12; 0.575; 6.454; 0.600; 6.466;99
05 34 46.40;-05 24 31.87; 3.585;-0.307; 0.402;-2.11; 0.572; 6.399; 0.600; 6.413;97
05 34 50.50;-05 11 10.58; 3.597;-0.326; 0.289;-5.00; 0.673; 6.559; 0.690; 6.567;98
05 35 21.93;-05 14 27.72; 3.542;-0.316; 0.257;-5.00; 0.355; 6.131; 0.320; 5.899;99
05 34 50.73;-05 27 01.09; 3.585;-0.239; 0.825;-1.45; 0.567; 6.306; 0.590; 6.307;99
05 34 52.59;-05 24 03.80; 3.560;-0.383; 0.000;-5.00; 0.423; 6.271; 0.410; 6.226;99
05 35 15.67;-05 25 33.14; 3.597;-0.183; 2.538;-0.22; 0.658; 6.347; 0.690; 6.387;99
05 35 47.48;-05 22 49.47; 3.542;-0.377; 0.000;-5.00; 0.355; 6.180; 0.320; 5.950;99
05 34 26.16;-05 26 30.45; 3.683; 0.291; 4.321;-0.43; 1.567; 6.714; 1.500; 6.672;
