RAJ2000;DEJ2000;logT;logL;AV;logAc;M.S0;logA0;M.P9;logA9;Mm
05 35 20.16;-05 34 57.26; 3.533;-0.562; 4.335;-0.58; 0.317; 6.311; 0.275; 6.094;99
05 35 13.04;-05 34 03.59; 3.485;-0.796; 2.368;-1.82; 0.168; 6.379; 0.108; 5.618;99
05 35 50.13;-05 10 29.44; 3.495;-1.223; 0.199;-5.00; 0.155; 6.657; 0.138; 6.363;99
05 34 30.12;-05 40 15.24; 3.503;-0.338; 5.163;-0.83; 0.245; 5.685; 0.153; 5.438;
05 34 16.96;-05 30 53.27; 3.497;-0.819; 2.395;-1.49; 0.195; 6.418; 0.142; 5.970;
05 35 22.68;-05 16 14.04; 3.551;-0.610; 3.752;-5.00; 0.377; 6.467; 0.365; 6.323;
05 34 04.65;-05 22 22.43; 3.517; 0.008; 7.196;-0.71; 0.275; 5.012; 0.188; 5.000;
05 35 52.49;-05 27 57.42; 3.505;-1.188; 0.505;-3.16; 0.183; 6.708; 0.165; 6.423;99
05 36 01.83;-05 33 12.78; 3.914;      ; 6.341; 0.00;      ;      ;      ;      ; 0
05 34 29.45;-05 23 37.43; 3.485;-1.232; 0.127;-2.84; 0.127; 6.615; 0.110; 6.271;99
05 35 19.79;-05 14 05.34; 3.515;-0.430; 4.895;-0.72; 0.270; 6.120; 0.188; 5.684;98
05 35 13.50;-05 17 31.27; 3.624;-0.276; 5.590;-5.00; 0.955; 6.838; 0.895; 6.814;99
05 35 06.84;-05 42 35.43; 3.524;-1.194; 0.620;-5.00; 0.240; 6.897; 0.235; 6.733;
05 35 20.74;-05 37 53.77; 3.505;-0.619; 3.782;-0.81; 0.233; 6.305; 0.162; 5.756;99
05 34 52.36;-05 25 00.71; 3.485;-0.614; 3.479;-1.26; 0.185; 6.097; 0.102; 5.302;
05 34 29.38;-05 25 51.89; 3.505;-0.885; 2.270;-1.05; 0.210; 6.486; 0.162; 6.113;96
05 35 17.97;-05 16 45.10; 3.548;-0.366; 5.080;-5.00; 0.373; 6.186; 0.345; 5.985;
05 35 04.21;-05 15 21.50; 3.569;-0.707; 3.382;-1.90; 0.460; 6.766; 0.475; 6.724;99
05 35 42.09;-05 20 06.06; 3.515;-1.186; 0.634;-5.00; 0.210; 6.810; 0.192; 6.557; 0
05 34 07.12;-05 15 59.35; 3.515;-0.608; 3.703;-1.58; 0.260; 6.309; 0.190; 5.899;
05 34 46.69;-05 21 24.69; 3.533;-0.792; 2.947;-1.03; 0.305; 6.550; 0.280; 6.326;99
05 34 49.07;-05 28 08.94; 3.476;-0.537; 3.925;-1.03; 0.168; 5.373;      ;      ;99
05 35 12.94;-05 28 49.83; 3.530;-0.691; 3.338;-5.00; 0.300; 6.421; 0.255; 6.173;
05 34 54.11;-05 22 26.52; 3.485;-1.053; 1.136;-2.53; 0.142; 6.521; 0.110; 6.109;99
05 34 53.94;-05 27 49.12; 3.533;-0.471; 4.996;-0.58; 0.322; 6.228; 0.275; 5.947;99
05 35 16.78;-05 16 53.33; 3.505;-0.801; 2.614;-5.00; 0.218; 6.433; 0.162; 6.026;99
05 35 54.50;-05 26 45.62; 3.577;-0.709; 3.725;-0.72; 0.515; 6.877; 0.540; 6.845;98
05 34 12.34;-05 41 34.73; 3.495;-1.171; 0.618;-2.69; 0.160; 6.629; 0.138; 6.302;
05 35 30.45;-05 28 11.25; 3.524;-0.586; 4.295;-0.65; 0.287; 6.300; 0.230; 5.986;99
05 35 53.16;-05 19 30.00; 3.542;-1.119; 1.208;-2.00; 0.308; 7.012; 0.325; 6.959; 0
05 34 06.86;-05 23 08.36; 3.497;-0.914; 2.011;-1.81; 0.188; 6.477; 0.142; 6.072;
05 34 58.53;-05 32 49.93; 3.542;-0.127; 6.945;-0.52; 0.355; 6.002; 0.315; 5.623;99
05 35 54.67;-05 22 00.69; 3.706;-0.166; 6.905;-0.47; 0.983; 7.466; 0.950; 7.427;98
05 35 30.69;-05 25 11.09; 3.533;-1.221; 0.643;-5.00; 0.268; 7.033; 0.280; 6.971;99
05 34 39.76;-05 17 24.26; 3.485;-1.256; 0.127;-5.00; 0.125; 6.632; 0.110; 6.293;99
05 35 00.85;-05 31 05.94; 3.542;-0.278; 6.185;-0.52; 0.355; 6.095; 0.320; 5.855;99
05 34 07.22;-05 29 32.40; 3.501;-0.898; 2.168;-1.91; 0.198; 6.485; 0.153; 6.092;
05 35 52.27;-05 13 18.72; 3.495;-1.149; 0.789;-5.00; 0.160; 6.606; 0.135; 6.282;
05 35 32.81;-05 17 38.45; 3.560;-0.738; 3.305;-5.00; 0.410; 6.701; 0.410; 6.634;99
05 35 18.47;-05 39 19.88; 3.507;-1.153; 0.913;-1.93; 0.190; 6.709; 0.172; 6.418;
05 34 46.95;-05 16 19.61; 3.524;-0.783; 3.030;-1.34; 0.278; 6.489; 0.230; 6.210;99
05 35 31.53;-05 15 23.63; 3.543;-0.819; 2.867;-5.00; 0.335; 6.644; 0.320; 6.470;
05 35 35.12;-05 27 54.75; 3.542;-0.815; 2.900;-5.00; 0.335; 6.644; 0.320; 6.470;99
05 35 13.61;-05 21 21.08; 3.533;-1.257; 0.555;-5.00; 0.265; 7.067; 0.280; 7.018;
05 36 02.83;-05 32 54.34; 3.533;-0.421; 5.422;-0.58; 0.322; 6.189; 0.275; 5.904;99
05 34 11.50;-05 30 19.84; 3.499;-0.590; 3.907;-1.45; 0.220; 6.288; 0.142; 5.595;
05 36 05.13;-05 11 13.63; 3.485;-1.054; 1.319;-5.00; 0.145; 6.520; 0.110; 6.109;
05 35 54.15;-05 17 10.46; 3.485;-0.783; 2.816;-1.35; 0.170; 6.371; 0.108; 5.606;99
05 35 31.75;-05 16 39.91; 3.558;-0.648; 4.107;-0.87; 0.405; 6.574; 0.400; 6.483;
05 35 09.65;-05 26 23.27; 3.569;-1.069; 1.719;-5.00; 0.445; 7.273; 0.480; 7.299;99
05 35 01.61;-05 33 38.10; 3.533;-0.413; 5.029;-5.00; 0.322; 6.180; 0.275; 5.904;99
05 34 28.97;-05 23 48.12; 3.501;-1.046; 1.511;-5.00; 0.185; 6.582; 0.153; 6.243;
05 35 05.68;-05 43 04.62; 3.503;-1.155; 0.970;-5.00; 0.183; 6.681; 0.160; 6.374;
05 35 53.65;-05 15 41.72; 3.683;-0.422; 5.159;-5.00; 0.858; 7.611; 0.835; 7.584;97
05 35 13.31;-05 37 15.87; 3.499;-0.962; 1.996;-1.94; 0.188; 6.517; 0.147; 6.143;
05 34 50.10;-05 17 12.14; 3.542;-0.159; 7.004;-0.52; 0.355; 6.021; 0.315; 5.699;99
05 35 37.62;-05 19 44.11; 3.485;-1.164; 0.835;-5.00; 0.132; 6.582; 0.110; 6.214;99
05 36 05.76;-05 18 55.98; 3.505;-1.171; 0.971;-5.00; 0.185; 6.699; 0.165; 6.410;
05 34 56.93;-05 22 06.27; 3.533;-0.775; 3.229;-5.00; 0.308; 6.532; 0.280; 6.304;99
05 34 48.46;-05 31 07.22; 3.520;-0.914; 2.811;-0.68; 0.255; 6.596; 0.215; 6.298;
05 35 05.62;-05 29 22.34; 3.577;-1.012; 2.281;-1.00; 0.505; 7.313; 0.540; 7.354;99
05 35 35.60;-05 39 08.18; 3.533;-0.880; 3.191;-0.58; 0.298; 6.643; 0.280; 6.429;
05 35 43.60;-05 32 11.88; 3.495;-0.922; 2.248;-5.00; 0.180; 6.473; 0.135; 6.051;99
05 35 08.97;-05 10 25.66; 3.533;-1.402; 0.000;-5.00; 0.255; 7.242; 0.280; 7.214; 0
05 35 08.25;-05 29 12.10; 3.505;-0.700; 3.782;-0.81; 0.228; 6.364; 0.162; 5.901;99
05 35 01.72;-05 27 09.90; 3.497;-0.857; 2.627;-5.00; 0.192; 6.443; 0.142; 6.010;
05 34 53.48;-05 40 03.97; 3.507;-1.188; 1.005;-1.91; 0.188; 6.733; 0.172; 6.458;
05 35 05.46;-05 25 55.79; 3.524;-0.805; 3.106;-5.00; 0.275; 6.502; 0.230; 6.227;99
05 34 30.24;-05 17 01.22; 3.507;-1.299; 0.419;-5.00; 0.180; 6.822; 0.172; 6.622;
05 35 03.43;-05 26 09.97; 3.505;-1.084; 1.545;-5.00; 0.192; 6.632; 0.165; 6.309;99
05 34 41.73;-05 36 48.76; 3.507;-0.772; 3.501;-0.79; 0.228; 6.410; 0.170; 6.009;
05 35 20.17;-05 28 41.68; 3.495;-1.124; 1.324;-1.51; 0.162; 6.598; 0.138; 6.259;99
05 35 28.17;-05 11 37.53; 3.551;-0.576; 5.133;-0.46; 0.380; 6.420; 0.365; 6.285;99
05 34 58.70;-05 12 26.10; 3.485;-1.116; 1.249;-2.42; 0.138; 6.558; 0.110; 6.168;99
05 35 04.87;-05 20 57.56; 3.524;-0.801; 3.199;-5.00; 0.275; 6.502; 0.230; 6.219;97
05 34 25.20;-05 32 13.81; 3.495;-1.020; 1.882;-2.23; 0.172; 6.534; 0.135; 6.160;
05 35 11.08;-05 41 56.35; 3.503;-1.172; 1.147;-2.45; 0.180; 6.690; 0.160; 6.387;
05 34 57.38;-05 14 33.53; 3.505;-0.761; 3.315;-5.00; 0.222; 6.402; 0.162; 5.972;99
05 35 02.76;-05 32 02.89; 3.495;-0.803; 3.260;-0.90; 0.190; 6.409; 0.135; 5.904;99
05 34 17.30;-05 22 48.09; 3.542;-0.617; 4.923;-0.52; 0.345; 6.412; 0.320; 6.238;
05 34 22.33;-05 34 47.36; 3.495;-0.691; 3.925;-0.90; 0.200; 6.351; 0.132; 5.649;
05 35 15.28;-05 20 29.02; 3.515;-1.022; 2.137;-5.00; 0.225; 6.648; 0.192; 6.340;
05 35 18.50;-05 42 30.73; 3.507;-0.600; 4.576;-0.79; 0.240; 6.299; 0.168; 5.751;
05 35 40.01;-05 26 01.30; 3.524;-1.207; 1.355;-1.13; 0.237; 6.913; 0.235; 6.757; 0
05 34 50.47;-05 32 53.85; 3.485;-1.112; 1.480;-1.83; 0.138; 6.550; 0.110; 6.168;99
05 34 23.97;-05 28 34.71; 3.542;-0.547; 5.349;-0.52; 0.350; 6.338; 0.320; 6.180;
05 35 17.98;-05 26 50.55; 3.505;-0.731; 3.918;-0.81; 0.225; 6.383; 0.162; 5.929;99
05 34 19.09;-05 33 11.48; 3.524;-0.554; 5.103;-0.65; 0.290; 6.279; 0.230; 5.945;
05 35 12.68;-05 19 35.48; 3.542;-0.982; 2.564;-5.00; 0.320; 6.836; 0.320; 6.706;99
05 35 38.12;-05 28 33.59; 3.533;-0.583; 5.091;-0.58; 0.317; 6.335; 0.275; 6.114;99
05 35 05.62;-05 11 50.60; 3.662; 0.212; 8.947;-5.00; 1.440; 6.574; 1.327; 6.521;99
05 35 58.95;-05 32 53.91; 3.485;-1.083; 1.900;-0.97; 0.140; 6.535; 0.110; 6.133;99
05 35 02.69;-05 32 24.98; 3.503;-0.618; 4.279;-5.00; 0.228; 6.309; 0.157; 5.717;
05 35 47.83;-05 13 17.76; 3.542;-0.680; 4.191;-5.00; 0.343; 6.485; 0.320; 6.289;
05 34 39.12;-05 34 02.35; 3.501;-0.499; 5.152;-0.84; 0.233; 6.130; 0.147; 5.482;
05 34 50.45;-05 16 29.70; 3.542;-0.691; 4.709;-0.52; 0.343; 6.500; 0.320; 6.313;99
05 34 53.89;-05 22 20.61; 3.485;-1.078; 1.764;-5.00; 0.140; 6.535; 0.110; 6.133;99
05 35 54.99;-05 22 35.54; 3.485;-1.150; 1.448;-1.73; 0.135; 6.574; 0.110; 6.203;99
05 34 48.93;-05 31 31.49; 3.542;-0.438; 6.076;-0.52; 0.352; 6.227; 0.320; 6.093;99
05 36 05.82;-05 28 02.95; 3.668;-0.352; 6.268;-0.90; 0.947; 7.407; 0.910; 7.386;
05 35 11.24;-05 41 36.20; 3.524;-0.522; 5.158;-1.04; 0.290; 6.250; 0.230; 5.904;
05 35 42.58;-05 33 48.96; 3.515;-1.091; 2.028;-1.66; 0.218; 6.718; 0.192; 6.431;99
05 34 52.68;-05 21 25.20; 3.515;-0.954; 2.711;-5.00; 0.233; 6.595; 0.192; 6.274;
05 35 21.21;-05 33 17.58; 3.551;-0.585; 5.492;-0.46; 0.380; 6.435; 0.365; 6.296;99
05 35 25.72;-05 29 35.33; 3.524;-0.512; 5.500;-0.65; 0.290; 6.240; 0.230; 5.896;99
05 34 35.60;-05 37 24.03; 3.503;-0.835; 3.415;-1.06; 0.210; 6.445; 0.157; 6.041;
05 34 48.11;-05 22 38.53; 3.524;-0.387; 6.163;-0.65; 0.295; 6.138; 0.230; 5.781;99
05 35 44.58;-05 32 55.97; 3.520;-1.274; 1.134;-1.75; 0.220; 6.943; 0.215; 6.823;
05 35 14.44;-05 33 19.10; 3.639;-1.617; 5.532;-0.02;      ;      ;      ;      ;99
05 33 53.98;-05 27 34.56; 3.550;-1.466; 0.273;-5.00; 0.317; 7.549; 0.360; 7.634;
05 34 42.19;-05 33 03.60; 3.533;-0.737; 4.501;-0.58; 0.310; 6.487; 0.275; 6.257;
05 34 41.96;-05 21 32.08; 3.501;-1.077; 2.044;-5.00; 0.183; 6.602; 0.153; 6.263;
05 35 19.56;-05 27 35.66; 3.562;-0.838; 3.619;-5.00; 0.412; 6.851; 0.425; 6.809;
05 35 49.76;-05 32 29.19; 3.542;-0.735; 4.655;-0.52; 0.340; 6.547; 0.320; 6.362;99
05 35 06.10;-05 14 25.01; 3.505;-0.614; 4.518;-5.00; 0.233; 6.305; 0.162; 5.740;99
05 35 59.96;-05 30 03.40; 3.542;-0.323; 6.816;-0.52; 0.355; 6.131; 0.320; 5.899;
05 35 01.08;-05 23 04.08; 3.505;-1.089; 2.332;-0.81; 0.192; 6.645; 0.165; 6.320;
05 35 14.50;-05 29 03.20; 3.505;-0.952; 3.053;-0.81; 0.203; 6.543; 0.162; 6.188;99
05 34 03.90;-05 29 51.20; 3.503;-1.294; 0.978;-2.53; 0.170; 6.783; 0.160; 6.543;
05 35 37.07;-05 37 37.24; 3.505;-0.702; 4.367;-0.81; 0.228; 6.364; 0.162; 5.901;
05 35 14.75;-05 34 16.83; 3.533;-0.724; 4.152;-5.00; 0.310; 6.473; 0.275; 6.239;99
05 35 22.23;-05 28 36.46; 3.476;-0.977; 2.469;-5.00; 0.127; 6.426; 0.100; 6.009;99
05 35 35.02;-05 41 01.41; 3.522;-0.694; 4.704;-0.66; 0.278; 6.392; 0.220; 6.090;
05 35 07.10;-05 42 33.34; 3.522;-1.077; 2.385;-1.34; 0.243; 6.753; 0.225; 6.515;
05 35 13.18;-05 36 18.04; 3.532;-0.775; 3.962;-5.00; 0.303; 6.525; 0.270; 6.276;
05 34 23.67;-05 17 23.79; 3.799;-0.399; 5.731;-5.00;      ;      ;      ;      ;
05 34 26.98;-05 18 03.25; 3.485;-0.740; 3.866;-5.00; 0.172; 6.327; 0.105; 5.549;
05 34 30.48;-05 21 56.02; 3.505;-1.038; 2.554;-1.35; 0.195; 6.597; 0.165; 6.268;
05 35 39.08;-05 20 25.70; 3.533;-0.933; 3.210;-5.00; 0.292; 6.702; 0.280; 6.497;99
05 34 41.82;-05 21 49.47; 3.495;-0.941; 2.918;-5.00; 0.177; 6.480; 0.135; 6.075;
05 34 43.88;-05 12 55.86; 3.668;-0.583; 5.218;-1.91; 0.788; 7.734; 0.760; 7.683; 0
05 35 28.35;-05 17 54.47; 3.569;-0.601; 5.115;-5.00; 0.463; 6.618; 0.475; 6.570;98
05 34 21.90;-05 15 30.43; 3.505;-0.651; 4.865;-0.81; 0.230; 6.330; 0.162; 5.787;
05 35 05.79;-05 23 16.09; 3.485;-1.354; 0.756;-5.00; 0.117; 6.686; 0.110; 6.407;
05 34 15.09;-05 23 00.06; 3.522;-1.553; 0.000;-5.00; 0.205; 7.284; 0.230; 7.265;
05 35 38.60;-05 27 36.90; 3.505;-1.164; 1.919;-5.00; 0.185; 6.699; 0.165; 6.397;99
05 36 03.48;-05 24 35.96; 3.476;-0.947; 2.908;-1.41; 0.130; 6.379; 0.100; 5.973;98
05 35 54.56;-05 21 57.50; 3.631;-0.346; 7.586;-0.31; 0.983; 7.046; 0.905; 6.967;99
05 35 11.34;-05 14 01.54; 3.505;-0.728; 4.246;-5.00; 0.225; 6.383; 0.162; 5.929;
05 36 00.50;-05 41 10.98; 3.543;-0.521; 6.125;-0.52; 0.350; 6.313; 0.320; 6.163;
05 34 45.26;-05 16 25.75; 3.495;-1.050; 2.509;-5.00; 0.170; 6.552; 0.135; 6.184;
05 34 41.59;-05 34 24.97; 3.515;-1.313; 1.311;-2.09; 0.198; 6.933; 0.192; 6.771;88
05 35 32.89;-05 39 19.16; 3.501;-1.173; 1.964;-1.88; 0.175; 6.666; 0.155; 6.365;
05 35 19.86;-05 31 03.77; 3.537;-0.719; 4.544;-5.00; 0.322; 6.498; 0.295; 6.277;
05 34 47.21;-05 18 09.83; 3.495;-1.208; 1.776;-1.70; 0.155; 6.645; 0.138; 6.337;
05 35 34.64;-05 27 15.05; 3.501;-1.178; 1.997;-1.52; 0.175; 6.680; 0.155; 6.378;
05 35 17.42;-05 30 46.71; 3.515;-0.977; 3.124;-5.00; 0.230; 6.608; 0.192; 6.293;99
05 35 03.44;-05 23 32.80; 3.524;-1.315; 1.447;-5.00; 0.228; 7.029; 0.235; 6.967;99
05 36 07.84;-05 31 11.79; 3.505;-1.334; 1.223;-5.00; 0.172; 6.835; 0.165; 6.626;
05 35 22.07;-05 28 55.60; 3.518;-0.980; 3.181;-5.00; 0.243; 6.637; 0.205; 6.339;
05 35 24.69;-05 28 25.41; 3.495;-0.991; 3.201;-0.90; 0.175; 6.516; 0.135; 6.123;99
05 34 02.68;-05 33 02.99; 3.493;-1.000; 3.013;-1.29; 0.170; 6.513; 0.130; 6.113;
05 35 21.64;-05 17 19.14; 3.524;-0.670; 4.910;-5.00; 0.285; 6.377; 0.230; 6.086;
05 35 05.76;-05 35 22.11; 3.501;-1.208; 1.976;-1.60; 0.172; 6.702; 0.155; 6.404;
05 34 31.35;-05 15 50.23; 3.505;-1.204; 2.036;-1.99; 0.183; 6.722; 0.165; 6.449;
05 34 50.22;-05 35 39.05; 3.499;-1.192; 2.133;-1.52; 0.168; 6.666; 0.150; 6.368;
05 34 42.48;-05 22 46.24; 3.503;-1.003; 3.115;-5.00; 0.192; 6.557; 0.157; 6.220;
05 35 47.52;-05 34 36.30; 3.597;-1.307; 1.895;-1.60;      ;      ; 0.540; 8.146;98
05 35 18.10;-05 28 24.89; 3.569;-1.381; 2.350;-0.36; 0.425; 7.724; 0.455; 7.813;99
05 35 52.90;-05 25 43.90; 3.551;-0.690; 5.728;-0.46; 0.375; 6.562; 0.365; 6.431;
05 35 21.62;-05 27 14.55; 3.485;-1.225; 1.868;-5.00; 0.127; 6.615; 0.110; 6.271;99
05 35 34.29;-05 33 21.65; 3.569;-0.514; 6.937;-0.36; 0.468; 6.506; 0.475; 6.447;99
05 34 50.14;-05 19 59.94; 3.485;-1.338; 1.290;-2.81; 0.120; 6.678; 0.110; 6.380;99
05 34 32.02;-05 27 42.60; 3.533;-0.877; 4.585;-0.58; 0.298; 6.643; 0.280; 6.429;
05 35 24.47;-05 19 09.79; 3.524;-1.659; 0.000;-5.00; 0.210; 7.455; 0.240; 7.460;99
05 35 36.56;-05 40 25.19; 3.507;-1.463; 0.946;-1.81; 0.172; 6.985; 0.172; 6.896;
05 34 28.57;-05 30 32.48; 3.513;-1.010; 3.664;-0.74; 0.222; 6.634; 0.188; 6.306;
05 35 03.00;-05 38 40.60; 3.503;-1.109; 3.095;-0.83; 0.185; 6.645; 0.160; 6.323;
05 35 42.62;-05 26 33.71; 3.507;-1.312; 1.809;-5.00; 0.180; 6.838; 0.172; 6.637;
05 35 36.35;-05 32 54.76; 3.560;-0.948; 3.993;-5.00; 0.398; 6.984; 0.410; 6.945;93
05 35 40.91;-05 22 02.29; 3.515;-1.251; 2.550;-0.72; 0.203; 6.873; 0.192; 6.654;99
05 34 13.05;-05 33 48.48; 3.533;-1.125; 3.504;-0.58; 0.278; 6.920; 0.280; 6.801;
05 34 17.26;-05 22 36.84; 3.564;-1.565; 0.852;-5.00; 0.390; 7.971; 0.425; 8.121;
05 35 51.85;-05 15 30.90; 3.495;-1.661; 0.000;-5.00; 0.127; 7.007; 0.140; 6.980;
05 34 48.24;-05 30 10.17; 3.505;-0.825; 4.749;-0.81; 0.215; 6.443; 0.162; 6.051;
05 34 48.48;-05 42 28.08; 3.569;-1.435; 2.477;-0.36; 0.423; 7.815; 0.450; 7.885;
05 34 26.79;-05 19 41.38; 3.515;-1.115; 3.103;-5.00; 0.215; 6.733; 0.192; 6.458;
05 34 15.31;-05 18 20.57; 3.675;-0.858; 5.874;-0.28;      ;      ;      ;      ;
05 35 53.95;-05 27 38.10; 3.495;-0.974; 3.956;-0.90; 0.175; 6.497; 0.135; 6.111;
05 34 07.02;-05 30 20.00; 3.520;-1.723; 0.116;-5.00; 0.198; 7.490; 0.220; 7.490;
05 35 32.60;-05 40 12.42; 3.501;-1.360; 1.904;-1.76; 0.162; 6.826; 0.155; 6.615;
05 35 19.32;-05 16 09.96; 3.535;-1.684; 0.602;-5.00; 0.252; 7.644; 0.295; 7.758;
05 34 17.15;-05 37 11.86; 3.526;-1.784; 0.051;-5.00; 0.215; 7.647; 0.250; 7.748;
05 35 13.58;-05 35 08.10; 3.569;-0.721; 5.860;-5.00; 0.460; 6.783; 0.475; 6.750;93
05 35 35.14;-05 33 49.23; 3.675;-1.632; 1.537;-0.61;      ;      ;      ;      ;98
05 34 06.79;-05 21 46.81; 3.507;-1.756; 0.252;-5.00; 0.162; 7.321; 0.172; 7.283;
05 34 47.66;-05 31 11.73; 3.520;-1.607; 1.183;-1.60; 0.198; 7.334; 0.220; 7.300;
05 35 29.68;-05 30 24.76; 3.522;-1.271; 3.330;-0.66; 0.225; 6.960; 0.225; 6.851;
05 36 06.34;-05 17 20.22; 3.576;-1.000; 4.606;-5.00; 0.500; 7.286; 0.540; 7.335;
05 34 59.19;-05 41 12.55; 3.524;-1.467; 2.456;-0.65; 0.218; 7.208; 0.240; 7.191;
05 34 47.74;-05 26 32.18; 3.511;-1.593; 1.348;-5.00; 0.177; 7.179; 0.185; 7.151;
05 35 50.04;-05 17 18.16; 3.551;-1.924; 0.000;-1.33; 0.300; 8.763;      ;      ;
05 34 46.87;-05 30 19.75; 3.507;-1.865; 0.047;-5.00; 0.162; 7.455; 0.175; 7.461;
05 35 33.25;-05 19 57.68; 3.597;-0.691; 6.518;-5.00; 0.700; 7.168; 0.645; 7.065;
05 35 57.35;-05 25 15.61; 3.509;-1.832; 0.269;-5.00; 0.168; 7.452; 0.180; 7.437;
05 34 57.37;-05 32 43.16; 3.560;-1.118; 5.059;-0.40; 0.387; 7.205; 0.415; 7.209;
05 35 15.50;-05 22 42.99; 3.555;-1.944; 0.000;-5.00;      ;      ;      ;      ;
05 34 53.07;-05 26 27.72; 3.503;-1.288; 3.513;-0.83; 0.170; 6.768; 0.160; 6.526;
05 35 49.85;-05 15 12.98; 3.597;-1.749; 1.507;-1.31;      ;      ;      ;      ;
05 35 59.26;-05 33 00.44; 3.507;-1.871; 0.503;-5.00; 0.162; 7.475; 0.175; 7.479;
05 35 12.40;-05 24 03.73; 3.522;-1.992; 0.000;-2.78; 0.203; 7.917; 0.230; 7.967;
05 34 18.38;-05 22 54.93; 3.524;-2.068; 0.056;-2.33; 0.218; 8.113; 0.235; 8.301;
05 35 03.79;-05 24 54.44; 3.509;-2.129; 0.000;-5.00; 0.177; 7.935; 0.180; 7.940;

